company_name,nse_symbol
Meesho Ltd,MEESHO
Swiggy Ltd,SWIGGY
Billionbrains Garage Ventures Ltd,GROWW
Physicswallah Ltd,PWL
Ather Energy Ltd,ATHERENERG
Lenskart Solutions Ltd,LENSKART
Pine Labs Ltd,PINELABS
Eternal Ltd,ETERNAL
LG Electronics India Ltd,LGEINDIA
Acutaas Chemicals Ltd,ACUTAAS
International Gemological Institute Limited,IGIL
Sedemac Mechatronics Ltd,SEDEMAC
Shadowfax Technologies Ltd,SHADOWFAX
Rainbow Childrens Medicare Limited,RAINBOW
Mangalore Refinery and Petrochemicals Limited,MRPL
Authum Investment & Infrastructure Limited,AIIL
Nuvama Wealth Management Limited,NUVAMA
Aptus Value Housing Finance India Limited,APTUS
Chambal Fertilizers & Chemicals Limited,CHAMBLFERT
NOCIL Limited,NOCIL
Netweb Technologies India Limited,NETWEB
Hyundai Motor India Limited,HYUNDAI
Fertilizers and Chemicals Travancore Limited,FACT
Sequent Scientific Limited,SEQUENT
Canara HSBC Life Insurance Company Limited,CANHLIFE
Hirect Limited,HIRECT
GSPL,GSPL
INDO-MIM Limited,INDOMIM
Indo-MIM Ltd.,INDOMIM
Indo Mim Ltd,INDOMIM
INDO-MIM Limited,INDOMIM
INDO-MIM LTD,INDOMIM
INDO-MIM Ltd,INDOMIM
Laser Power And Infra Limited,LASERPOWER
Laser Power & Infra Ltd,LASERPOWER
Kusumgar Limited,KUSUMGAR
Kusumgar Ltd.,KUSUMGAR
KUSUMGAR LTD,KUSUMGAR
Knack Packaging Limited,KNACK
Manipal Health Enterprises Ltd,MANIPALHOS
MANIPAL HEALTH ENTERPRISES LTD,MANIPALHOS
Dhoot Transmission Ltd,DHOOTTRANS
DHOOT TRANSMISSION LTD,DHOOTTRANS
Dhoot Transmission Ltd.,DHOOTTRANS
Milky Mist Dairy Food Limited,MILKYMIST
Milky Mist Dairy Food Ltd.,MILKYMIST
Lohia Corp Limited,LCL
Lohia Corp Ltd,LCL
Lohia Corp Ltd.,LCL
Molbio Diagnostics Ltd.,MOLBIO
Molbio Diagnostics Limited,MOLBIO
Shiprocket Ltd.,SHIPROCKET
Shiprocket Limited,SHIPROCKET
Symbiotec Pharmalab Ltd,SYMBIOTEC
Symbiotec Pharmalab Limited,SYMBIOTEC
SYMBIOTEC PHARMALAB LTD,SYMBIOTEC
Leap India Limited,LEAPIND
Lumino Industries Limited,LUMINO
Skyways Air Services Ltd,SKYWAYS
ESDS Software Solution Ltd,ESDS
Ardee Industries Limited,ARDEE
Orient Refractories Ltd.,RHIM
Globsyn Technologies Limited,GT05
GSPL India Transco Ltd,GSPL
Authum Investment & Infrastucture Ltd,AIIL
rainbow children s medicare,RAINBOW
canara hsbc life insurance coltd,CANHLIFE
nuvama wealth and investment,NUVAMA
aptus value housing finance,APTUS
itd cementation india,ITDCEM
chambal fertilisers and chemicals,CHAMBLFERT
fertilisers and chemicals,FACT
net web technologies india,NETWEB
ami organics,AMIORG
hind rectifiers,HIRECT
gspl transmission,GSPL
lalithaa jewellery mart,LALITHAA
augmont enterprises,AUGMONT
tempsens instruments india,TEMPSENS
gspl india transco,GSPL
the fertilisers and chemicals,FACT
gspl transmission ltd,GSPL
