"SYMBOL 
","UNDERLYING ASSET 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","INDICATIVE CLOSE 
","CHNG 
","%CHNG 
","VOLUME 
","VALUE 
 (₹ Crores)","NAV 
","52W H 
","52W L 
","30D  %CHNG 
","365 D   %CHNG 
"
"SILVERBEES","Domestic price of Silver- based on LBMA Silver daily spot fixing price","230.00","231.99","227.20","220.03","231.50","-","11.47","5.21","2,89,03,861","665.63","219.39","360.00","77.55",-10.83,"152.82"
"GOLDBEES","Gold","125.18","125.68","123.75","121.78","125.17","-","3.39","2.78","3,21,70,785","401.88","121.42","148.14","65.85",-6.91,"64.95"
"NIFTYBEES","Nifty 50","269.31","271.48","265.01","261.47","271.05","-","9.58","3.66","1,37,04,450","370.42","261.62","302.25","231.30",-5.69,"4.97"
"LIQUIDCASE","Zerodha Nifty 1D Rate Liquid ETF","113.53","113.53","113.51","113.50","113.51","-","0.01","0.01","2,56,23,366","290.85","113.50","113.53","102.00",0.41,"5.15"
"TATSILV","Tata Silver Exchange Traded Fund","23.01","23.60","22.72","22.36","23.55","-","1.19","5.32","8,21,75,691","192.29","22.29","35.10","8.56",-10.85,"153.23"
"LIQUIDBEES","Government Securities","1,000.00","1,000.01","999.00","1,000.00","999.99","-","-0.01","-","16,62,241","166.22","1,000.00","1,029.99","970.00",0,"-"
"TATAGOLD","Tata Gold Exchange Traded Fund","14.64","15.99","14.35","14.29","14.68","-","0.39","2.73","6,69,29,827","98.12","14.25","17.70","7.14",-6.84,"65.01"
"SILVERIETF","Domestic Price of Silver","235.65","242.65","235.65","229.88","241.12","-","11.24","4.89","40,14,378","96.31","228.76","373.50","88.80",-10.73,"153.17"
"BANKBEES","Nifty Bank","553.00","572.40","551.99","543.96","570.70","-","26.74","4.92","16,30,115","92.62","543.60","638.99","505.30",-8.92,"5.94"
"HDFCSILVER","HDFC Silver ETF","227.20","232.49","227.20","220.43","232.02","-","11.59","5.26","32,68,712","75.37","219.50","359.00","85.67",-10.78,"153.05"
"GOLDIETF","Gold","129.37","131.12","128.58","126.22","129.85","-","3.63","2.88","49,13,989","63.62","125.62","158.00","69.71",-6.68,"65.36"
"ITBEES","Nifty IT TRI","35.46","35.46","34.54","34.60","34.75","-","0.15","0.43","1,60,90,878","55.93","34.64","44.27","31.25",3.94,"-3.46"
"HDFCSML250","HDFC NIFTY Smallcap 250 ETF","154.99","156.50","152.92","150.31","155.57","-","5.26","3.50","33,03,636","51.25","149.93","183.18","136.27",-3.33,"4.24"
"LIQUID1","Kotak Nifty 1D Rate Liquid ETF","1,101.00","1,101.00","1,098.75","1,098.77","1,098.92","-","0.15","0.01","4,35,444","47.85","1,098.78","1,123.29","1,006.15",0.41,"5.25"
"SETFNIF50","Nifty 50","250.25","258.23","250.25","247.43","256.73","-","9.30","3.76","18,63,533","47.75","247.26","287.33","227.33",-5.62,"4.98"
"SETFGOLD","Gold","128.72","129.55","127.00","125.59","129.05","-","3.46","2.75","33,47,527","43.09","125.14","153.95","64.96",-6.87,"65.32"
"LIQUIDPLUS","Nifty 1D Rate Index","1,080.08","1,080.10","1,080.08","1,079.90","1,080.10","-","0.20","0.02","3,96,268","42.80","1,079.95","1,240.88","1,018.24",0.4,"5.23"
