"SYMBOL 
","COMPANY 
","REGULATION 
","NAME OF THE ACQUIRER/DISPOSER 
","CATEGORY OF PERSON 
","TYPE OF SECURITY (PRIOR) 
","NO. OF SECURITY (PRIOR) 
","% SHAREHOLDING (PRIOR) 
","TYPE OF SECURITY (ACQUIRED/DISPLOSED) 
","NO. OF SECURITIES (ACQUIRED/DISPLOSED) 
","VALUE OF SECURITY (ACQUIRED/DISPLOSED) 
","ACQUISITION/DISPOSAL TRANSACTION TYPE 
","TYPE OF SECURITY (POST) 
","NO. OF SECURITY (POST) 
","% POST 
","DATE OF ALLOTMENT/ACQUISITION FROM 
","DATE OF ALLOTMENT/ACQUISITION TO 
","DATE OF INITMATION TO COMPANY 
","MODE OF ACQUISITION 
","DERIVATIVE TYPE SECURITY 
","DERIVATIVE CONTRACT SPECIFICATION 
","NOTIONAL VALUE(BUY) 
","NUMBER OF UNITS/CONTRACT LOT SIZE (BUY) 
","NOTIONAL VALUE(SELL) 
","NUMBER OF UNITS/CONTRACT LOT SIZE  (SELL) 
","EXCHANGE 
","REMARK 
","BROADCASTE DATE AND TIME 
","XBRL 
"
"KRISHIVAL","Krishival Foods Limited","7(2)","Aparna Sujit Bangar","Director","Equity Shares","7686641","34.48",,"4000","1280857","Buy","Equity Shares","7690641","34.49","13-Mar-2026","13-Mar-2026","14-Mar-2026","Market Purchase","-","-","0","0","0","0","NSE","-","14-Mar-2026 20:40","https://nsearchives.nseindia.com/corporate/xbrl/IT_1195844_1635941_14032026084033_WEB.xml"
"MOTHERSON","Samvardhana Motherson International Limited","7(2)","Motherson ESOP Trust","Other","Equity Shares","15000000","0.14",,"4000000","487250647","Buy","Equity Shares","19000000","0.18","11-Mar-2026","11-Mar-2026","12-Mar-2026","Market Purchase","-","-","0","0","0","0","NSE","-","14-Mar-2026 17:20","https://nsearchives.nseindia.com/corporate/xbrl/IT_1195842_1635920_14032026052058_WEB.xml"
"MOTHERSON","Samvardhana Motherson International Limited","7(2)","Motherson ESOP Trust","Other","Equity Shares","19000000","0.18",,"211370","24897041","Buy","Equity Shares","19211370","0.18","12-Mar-2026","12-Mar-2026","13-Mar-2026","Market Purchase","-","-","0","0","0","0","NSE","-","14-Mar-2026 17:20","https://nsearchives.nseindia.com/corporate/xbrl/IT_1195842_1635920_14032026052058_WEB.xml"
"MOTHERSON","Samvardhana Motherson International Limited","7(2)","Motherson ESOP Trust","Other","Equity Shares","19211370","0.18",,"4000000","475031821","Buy","Equity Shares","23211370","0.22","13-Mar-2026","13-Mar-2026","14-Mar-2026","Market Purchase","-","-","0","0","0","0","NSE","-","14-Mar-2026 17:20","https://nsearchives.nseindia.com/corporate/xbrl/IT_1195842_1635920_14032026052058_WEB.xml"
"SHANKARA","Shankara Building Products Limited","7(2)","THE BALLYGUNGE FAMILY TRUST","Other","Equity Shares","638915","2.63",,"20000","2107208","Buy","Equity Shares","658915","2.72","13-Mar-2026","13-Mar-2026","14-Mar-2026","Market Purchase","-","-","0","0","0","0","NSE","-","14-Mar-2026 16:51","https://nsearchives.nseindia.com/corporate/xbrl/IT_1195840_1635912_14032026045154_WEB.xml"
"KOTYARK","Kotyark Industries Limited","7(2)","Gaurang R Shah HUF","Promoter Group","Equity Shares","659200","6.41",,"200000","65261100","Sell","Equity Shares","459200","4.47","12-Mar-2026","12-Mar-2026","14-Mar-2026","Market Sale","-","-","0","0","0","0","NSE","-","14-Mar-2026 16:37","https://nsearchives.nseindia.com/corporate/xbrl/IT_1195838_1635896_14032026043750_WEB.xml"
"LANDMARK","Landmark Cars Limited","7(2)","Devang Dave","Other","Equity Shares","125764","0.3",,"2500","870799","Buy","Equity Shares","128264","0.31","13-Mar-2026","13-Mar-2026","14-Mar-2026","Market Purchase","-","-","0","0","0","0","NSE","-","14-Mar-2026 14:23","https://nsearchives.nseindia.com/corporate/xbrl/IT_1195835_1635865_14032026022332_WEB.xml"
"LANDMARK","Landmark Cars Limited","7(2)","Devang Dave","Other","Equity Shares","120464","0.29",,"2800","996456","Buy","Equity Shares","123264","0.3","12-Mar-2026","12-Mar-2026","13-Mar-2026","Market Purchase","-","-","0","0","0","0","NSE","-","14-Mar-2026 14:23","https://nsearchives.nseindia.com/corporate/xbrl/IT_1195835_1635865_14032026022332_WEB.xml"
"INFY","Infosys Limited","7(2)","Infosys Employee benefits Trust","Other","Equity Shares","8676683","0.21",,"8200","10250984","Sell","Equity Shares","8668483","0.21","13-Mar-2026","13-Mar-2026","13-Mar-2026","Market Sale","-","-","0","0","0","0","NSE","-","14-Mar-2026 14:04","https://nsearchives.nseindia.com/corporate/xbrl/IT_1195833_1635860_14032026020431_WEB.xml"
"INFY","Infosys Limited","7(2)","Inderpreet Sawhney","-","ADR/GDR/FCCB","216180","0",,"6550","8027184","Sell","ADR/GDR/FCCB","209630","0","12-Mar-2026","12-Mar-2026","12-Mar-2026","Off Market","-","-","0","0","0","0","NA","-","14-Mar-2026 14:04","https://nsearchives.nseindia.com/corporate/xbrl/IT_1195833_1635860_14032026020431_WEB.xml"
